"message";"is_toxic"
"this may be a dumb question, butitis not immediately obvious why we are re-instantiating the kvs backend here, for the memcache driver. at first blushitlooks like a copy paste error form the previous method...but i am sure you'll enlighten me as to why it is not...:-";"0"
"get rid of this code and have callers of this call new with disabled_auth_failure assecond param.";"0"
"basically: if self.microversion and 'x-openstack-nova-api-version' in headers and headers 'x-openstack-nova-api-version' != self.microversion: self.fail 'bad test setup i hate you so much' and: if not self.microversion and 'x-openstack-nova-api-version' in headers: self.fail 'oh you dirty bastard";"1"
"s/insepctorbasetest/inspectorbasetest/";"0"
"my mistake here, it should be set asside-efffect of server_rebuild.";"0"
"ditto as the ec cl: signed-off-by: daisuke nojiri < >";"0"
"it seems you are still using self.nested_templ_with_server rather it should be files={'the.yaml': self.nested_templ}";"0"
"real nit but can we write this without the id = greenthread.spawn_after ... self._events_delayed event.uuid = id sorry for being pathetic";"0"
"was probably tired when i wrote that stupid line. thanks for the comment. done";"0"
"indentation issue. remove these blank spaces.";"0"
"remove daterangepicker";"0"
"odd that there is not any mention of android here. does chrome not usually build with _fortify_source here i suspect you either want to mention __bionic__ or _fortify_source. there is nothing brillo about this.";"0"
"rpmbuild should be executed under unprivileged user. so do not perform operations required root privileges during build stage";"0"
"mock_clients.return_value.environment...";"0"
"i think this solution is braindead also, like the previous one. can we try to assthe null. anyway, +2 because safe.";"1"
"damn";"1"
"the caching is only necessary for the performance benefit of not needing to do that service query from the db every time we get an instance, which doubles the traffic to the db on every instance query, which kind of sucks agree with leaving the caching in, that was my point with removing the todo so we do not forget about this.";"1"
"#error!";"0"
"kill it and find out or did you want to do that in a later patch instead";"0"
"loaddraft will invoke drawtoppanel so i remove invalidateoptionsmenu belowed.";"0"
"damnit, i hate it when i forget to save the file before i commit ;- yes they were notes as i was coding the c file done.";"1"
"damni thought i'd removed those. sorry.";"1"
"need to use six.text_type here and below";"0"
"ah yes, i remember this damm mess now. unfortunately some of the task code needs a conductor. seems silly to do that over rpc just for dependency reasons.";"1"
"can encoder work without vpu if not, we should remove these ifdef config_mediatek_vpu.";"0"
"profileid=profileid, extra_config=extra_config";"0"
"is this still used anywhere later looks like still used in nova.tests.unit.test_service, so i guess we can not remove it. damn";"1"
"kill and restart";"0"
"u.to_wrapped_dict is more appropriate here";"0"
"* if we had already decided on the features for a release, extra risky code is less chance. * if there is riskiness as part of features, then it is understandable and should be given more time to stabilise rather than not landing that feature * the only thing left out is a critical bugs that should be allowed to get in based on it is merit.";"0"
"remove content_type";"0"
"you can. some people prefer reinterpret_cast because it shouts ""danger! crappytype-unsafe c api here!"". others prefer static_cast because it is the weakest cast that will still work. i'll +2 either buttend to use reinterpret_cast personally; i've never seen anyone make the mistakes that static_cast would prevent in this specific circumstance .";"1"
"maybe worth having a directory for drivers would be intersting to know what others think.";"0"
"nit: put this after netbendingmarking to preserve lexicographic order.";"0"
"why is this a fixme is there something left to do here";"0"
"all of them should satisfy custom constraint cinder.vtype";"0"
"remove the tabs please - spaces only - the change makes this review a bitchto read and does not match the existing formatting.";"1"
"/*eula_accepted*/ or even /*eula_accepted_callback_*/";"0"
"damnforgot to delete this after the code changed during review... well, better to leave it here than to get inconsistent with tot now i guess.";"1"
"nononono, all that stuff should go away";"0"
"damnthought i caught all those! thanks.";"1"
"why not store the socket in the state_dir rather than creating a new option";"0"
"done. that is one's embarrassing, though what if there was random memory corruption in the value while we were null-checking nested_connect_job_ :";"0"
"the eclassalready calls default for you, so you should not need to do it yourself";"0"
"i think l7rules should be a subresource of l7policies, much like members are a subresource of pools.";"0"
"base_dir is useless";"0"
"rather than creating this useless structure, just passthe size in the kmem_cache_create in the _probe function but yeh that is not important, a dirty patch should be dirty....";"1"
"hmm still get ""attributeerror: __exit__"" for ""with tf.extractfile as f:"".";"0"
"crapsorry about that. done.";"1"
"damngrammar :-p";"1"
"should not this be: if ***not*** self._l2_policy_is_owned .... delete the policy otherwise do nothing.";"0"
"why do you remove a check for propertyname why do you display only string properyvalue what about number and boolean values i think it should be !_.isplainobject !_.isarray check for a property value";"0"
"how the heck did that get in there done....";"1"
"might want to inject a pause here prior to the reboot; depends on how fastitcycles getting a ""go do this"" message when the window is 1s sucks";"1"
"nits: can we use space instand of tab in 21-25, 27";"0"
"showing some hits already: i haven't dug into these yet to find out where they are coming from.";"0"
"looks like your git has the wrong name configured in it";"0"
"i believe this should be inserted at the end or it will break setup-base.sh.";"0"
"this'll crapout if the search fails";"1"
"also, after the first period the word "".request."" do not add anything to the sentence. could being removed";"0"
"it does not relate to your patch, but please, remove this dots. it sucksand unreadable! also, if this module will be moved in future, everything will break. i prefer to use this simple code: import rally lookup_dirs = templates_dir, os.path.dirname rally";"1"
"remove this trailing white spaces";"0"
"nit: drop wtf";"0"
"error -> die. then you can drop the exit below.";"0"
"agree with alexander, here is where separate validators suck you may easily not notice the same work is done twice.";"1"
"why do not you scankeysfor again after the rehash";"0"
"let us put this all behind config_charger_monitor_bp.";"0"
"remove this as we should not reach this if not supported and you already have dchecks in getbufferconfig.";"0"
"does this mean that if the header is corrupt, we are screwed";"1"
"nit: looks ugly. i like this style, like a = b = f , but not in this particular case. decompose it please.";"1"
"same as above, these docs are useless";"0"
"those should probably be mock.patch.object instead.";"0"
"these function names - specifically the ""stub1,stub2"" are ugly.";"1"
"rather than have a note, there should be a bullet which should be first that says to set auth_plugin.";"0"
"you should kill all pids at once rather than in for loop";"0"
"not a dumb question at all. i copy/pasted this from one of my daily driver configs. using $home is much more consistent";"0"
"the optimizer should usually be able to make this not suckbutthread.name.assign is more direct.";"1"
"mostly nit: but would be good to have a type check here, otherwise someone can put ironic_ramdisk_type=""blahhh"" and it is going to work. e.g elif ""$ironic_ramdisk_type"" == ""dib"" ; then build_ipa_dib ... else die ""ramdisk type $ironic_ramdisk_type not supported""";"0"
"neutron-server now supports rpc listener. i think start_rpc_listeners should be used.";"0"
"this sleep make test running 10 seconds delay, you should also mock in in the test case. virt/libvirt/test_driver.py#test_unrescue";"0"
"useless :";"0"
"accidentally put ** in __init__";"0"
"should probably put body += n here also instead of below";"0"
"please drop the empty line";"0"
"gross...";"0"
"hmmmm...that is a good reason to keep mountpoint around. which kind of sucksalso, mountpoint is optional from novasstandpoint, so we probably should not just raise and fail, unless it is a multi-attach to the same instance the knucklehead case , which means more checks for that case. i vote we just dis-allow that...";"1"
"remove extra newline after the block, or use # in its place.";"0"
"our usual style is more something like : #define g_pinmux_base 0x40060000 #define g_pinmux_dioa0_sel reg32 g_pinmux_base + 0x28 in order to support variants with peripherals moved around";"0"
"misformed or malformed... or maybe just 'incorrect'";"0"
"this seems like an upstream bug. is it reported sane defaults == win";"0"
"nova boot --security-groups ... --nic net_id=xxx ... where xx has port_security_enabled=false, it will launch an instance with no warning, return an instance object with specified security groups, butthe instance ports will not have security groups. this behavior does not look correct for me.";"0"
"wtfwhy did you change "" to ' when we are changing everywhere ' to """;"1"
"i think it would be nice if we have more than one choice there, like if ""$users_agree"" == ""y"" ""$users_agree"" == ""y"" ""$users_agree"" == ""yes"" ; i personally hate this situations when i press 'y' and application tell me 'wrong choice, man, bye-bye. in next time you should write full ""yes"", you moron";"1"
"same";"0"
"this actually changes nothing. is it needed";"0"
"i will remove max_retries.";"0"
"the # noqa comment already silences the flake8 warning about unused imports, it seems we could simply get rid of the asserts and leave it at that.";"0"
"let us remove these accessors.";"0"
"i am not sure it makes sense to pause a shut-off instance...";"0"
"ack. will keep that in mind. i'd kicked this train into gear and left to fight other fires.";"0"
"nit: both this classand the mock crypto stream both assume the same empty chlo message being sent. should we perhaps define some common method for this quic::cryptohandshakemessage getdummychlo also should we say something like ""dummy"" in the method name to make it obvious that this is not a real chlo";"0"
"this if term_is_active is now useless, please remove";"0"
"i thoughtitwould make sense to guard a useless operation... but i am fine with dropping it, too.";"0"
"actually c enums do not really check iirc and never have. you can assign a bogus value. they are not that useful. i am happy to get rid of this craphowever.";"1"
"this should be called devtest_overcloud_images.sh.";"0"
"please leave this message out: build_image is already too noisy.";"0"
"this means openstack and fake canalso match";"0"
"testrunner.cssmodel testrunner.debuggermodel";"0"
"are useless. just use if $ironic_enabled {";"0"
"this particular one is a big change. i think i'll do that in a separate patch. i'll file a bug to remind myself.";"0"
"would not work according in job package will be stored on slave host";"0"
"redundant. bt_core";"0"
"banging head on table thanks!";"0"
"stupid oversight on my part. i will add that back.";"0"
"ok, just seems ugly to me is all. if you use mock you do not have to worry about mox or stubs. i'll already grant that some think that using mock is ugly too...";"1"
"this needs a linewrap at removed";"0"
"in ha mode multirole is redundant";"0"
"done.. super lame mistake from me";"0"
"ml2_vxlan_endpoints should be dropped after ml2_gre_endpoints.";"0"
"no, indent 1 is dumb. fixed.";"1"
"naming convention is unnatural to me. i'd call this schedule_service_writeback and __service_modified asservice_writeback. and update_pending as dirty. but who am i";"0"
"ok. you should file a bug to track as we are actively killing old consumers of 180609 now.";"0"
"probably a stupid question: is it safe to push the value of the conf variable unchecked to libvirt";"0"
"correct, they should be removed";"0"
"you will not need the comment if the test name is more informative: def test_all_whitespace_flavor_names_rejected self :";"0"
"would it make more sense to make this 'team_domain=dummy' as well so users do not confuse it as being a valid string";"0"
"comment on existing code - just throw an exception here";"0"
"that author line is wrong. it seems you did not setup git correct. to update this change, run: git commit --amend --author=""miranda zhang < >"" please see the git instructions on how to setup git properly.";"0"
"bad formatting, * or - will give you bullets";"0"
"same, should be network_id = self.resource_id";"0"
"!!!!! this is an ugly reference back to the agent loop. can we get rid of ititis the only one...";"1"
"maybe kill this this script is the whole point of the job.";"0"
"i can not see that you removed scheduled_operation_state.py";"0"
"are we not going to assume error 401 or anything that i got bitched about with the amphora api proposal still in the review pipeline";"1"
"darn. you right. : peer programming works! or sileht programming works.";"1"
"it is ugly to return a vector of pointers that the caller has to delete manually - better return vector<std::unique_ptr<swpam>>";"0"
"ah. i was more describing the outcome of not having the check, which is that the browser process gets killed when we try to kill pid 0. maybe we can combine the two versions ""some tasks may not have accurate process ids yet. if it is still 0, do not try to kill it, since that could kill the browser process.""";"0"
"this backslash is unnecessary, and should be eliminated.";"0"
"nit: c++ static constructors are evil due to their random order or initialization / deinitialization anyway, so please please never use them. the fact that this is accessed from onexit only makes it clearer. consider using an emugl::lazyinstance<> here, see comment below.";"0"
"i changed the sh -c ""..."" style back to the normal style. butitseems that an empty double-quoted string still needs escaping.";"0"
"nope. if 'ip_ranges'= nothing will be iterated, netaddr.ipaddress will not be executed. these check anyway.";"0"
"uint8 *p_vendor_data = ...";"0"
"these configs should appear in etc/ironic/ironic.conf.sample to update that file, do something like ./tools/config/generate_sample.sh -b . -p ironic -o ./etc/ironic";"0"
"looks like we'll need to enforce by unit test that a given builder classname does not appear in more than one *_builder.py module. otherwise we can get really confused about which one is being used.";"0"
"ok, fair enough. just seems like it could be used outside openstack and if later we have to rename it so thatitis more obvious it can be used outside, that sorta sucksto have to go through that process .";"1"
"i got rid of all the ldap specific nonsense";"1"
"you are rightitlooked clumsy when i did it the other way butithink it is the right way. i'll fix it.";"1"
"i disagree. in this instance it is an instance that we have partially created, and that the user has no knowledge of its existence. we should not leave half created turds lying around. however, you have drawn attention to that fact that we are eating an exception, which we should not be doing.";"1"
"has_exception = exc";"0"
"scope_logger.cc does not exist in libshill-net users, like apmanager. do we move it under common/ and make apmanager depend on a separate shared library, just for that tiny shill-specific piece of code do we move it under net/ where it does not really belong do we tell library callers to implement the scopelogger classjust so that libshill-net links that is kind of an ugly interface for a library; at least for c-based shared libraries it is generally nicer to ask users to register a callback than for the .so file to try to link against some of the main executable's symbols.";"1"
"the parentheses here are causing the url to include them incorrectly and should be removed.";"0"
"this two lines does nothing. mock's object's return value is mock object by default";"0"
"damn i missed that one. thanks";"1"
"oh, yeah, what a crap maybe use this cleanup commit to finally get rid of that odd --language handling for good.";"1"
"here should be bytesio instead of stringio.";"0"
"do you know the difference between dump and dumps";"0"
"think that is what the condition above is trying to do and fails miserably . could be wrong thou gnumeric about this > p = pf varx / vary, nx - 1, ny - 1, false, false ; > if p > 0.5 { > /* > * we need the other tail and 1-p might not be very accurate. > */ > p = pf varx / vary, nx - 1, ny - 1, true, false ; > }";"0"
"hmm... i guess the intellij autoformatter must have lined up the javadoc comments automatically.";"0"
"bool drop_privileges every goto you write makes the baby agampe cry...";"0"
"retry_count should be lowercase ... because it is not a constant";"0"
"once you move to only using 'apache2', you should be able to extract that at runtime via 'apache2 -s'.";"0"
"instead of the mock, why not just call manager.neutronmanager.set_controller_for_resource and passit your fake controller";"0"
"for centos $ovs_server_package == false is notit";"0"
"why this change looks like you are no longer using these anyway, maybe you should just remove them";"0"
"i suggest getting rid of all re-entrancy to public methods. ex. create loadkeyinternal with no locking and keep locking very simple as the first statement in all public methods.";"0"
"yes the test is stupid it is just to test unicode and ""and"" :";"0"
".hprivdata = gssysconfig,";"0"
"yes, but i guess this is rabbit issue only, due to the fact that the reply queue have been historically created with auto_delete=true. another rabbitmq reported issue in the past was that a ha rabbitmq cluster that failover can in certain circumstance report that the queue does not exists just after the failover when it exists in reality. that another reason of why we do this crap";"1"
"should we catch valueerror and throw an appropriate nova exception";"0"
"i do not agree here, property in python are awful, especially when you want to test such methods.";"1"
"i will create a barbican subdirectory under '/etc/security'";"0"
"also, need to invalidate it just like the other validate_*s.";"0"
"we only need 1 gpuclient per child process, not per ""identity"". how can we wire the child id, pretty please it is important to associate gpu memory with the right process. again, it is not about the pid as was done in previous patches butthe child id browserchildprocesshostimpl::getdata .id .";"0"
"$region needs to be set somewhere";"0"
"the cbmanagerstate change in the new sdk is so sucky :- we did on mac and see discussion on bug linked from that cl . but if this is the only place, this is fine too.";"1"
"imo new line with a backslash should be removed.";"0"
"bouh bouh shame";"1"
"maybe a stupid query, but wont neutron-db-manage check-migrations would have an issue with this and would the cli work with the heads file now blank";"0"
"damnsomeday i'll learn how to spell, lol.";"1"
"if one fat-fingers serializer_path, we get a cryptic exception message. suggest we catch it here.";"0"
"i believe, most users should be satisfied with default dn choice. this way we allow user to just flip the switch and try it on without selecting another dn. we have the same setup for dumb member.";"0"
"edit: okay, pylint just told me that i am an idiot and that you meant the error function in argparseinstead.";"0"
"it specifies the target that this resource gets bound to in gl. a standard kernel api would be nice but apparently not nice enough to have been done upstream. seems to be a result of sticking the pipe api command stream before and after the kernel, using it as a dumb stream.";"0"
"shit";"1"
"yes. let me add the flag first. after this cl, i will update ios/api.py, and remove use_goma_canary.";"0"
"to be execute -> to be executed";"0"
"put a newline below the eapi";"0"
"ok, i understand now. it is to have a complete frame for the exception dispatch. ugly, needs comment.";"0"
"why not just call this absoluteresource to avoid the need for the odd dummy classbelow";"0"
"you canuse get_template function here";"0"
"perhaps we should rename it init.*.sh and cover init.goldfish.sh that way also. not bringing in lots of *.sh files... this one is to bring up the img graphics drivers and initialize the subsystem. i could rewrite it to be a upstart script pretty easily. would you feel better about having the rule init.*.rc or init.*.sh";"0"
"kill this too";"0"
"actually fetching the project is redundant with set_project code, this bit should disappear.";"0"
"this is ugly, you should probably splititon two lines so it lines up. or remove channel so it is shorter : 'nfs=nova.virt.libvirt.volume_nfs.nfsvolumedriver', 'fibrechan=nova.virt.libvirt.volume.' 'libvirtfibrechannelvolumedriver',";"1"
"could we just use consistent units please it is kind of ridiculous to have different units for apis from the same driver... also, proper kernel comment style is: /* * blah blah blah */";"0"
"you are an evil :o!";"1"
"damnabbreviations :-p";"1"
"are you sure you want white here, and not transparent";"0"
"this is purely me being lazy :- i am not attached to this change. i only did it for line 300 of globname.cxx.";"0"
"honestly, i might even change it to 60min. timeouts are supposed to catch the ""this is totally screwedup, let us abort"" not ""we are close to normal, but let us throw up everywhere anyways"".";"1"
"i would vote for rewriting our exception catching system to completely avoid using web.py built-in exceptions and use something like ""raise self.httperr 400, ""you sir are scumbag"" "".";"0"
"ah, thats nice, encoding stuff already crap";"1"
"wtf";"1"
"should be ""end: execute disksetup.""";"0"
"it is actually list of jolokia endpoints jolokia_endpoint_list";"0"
"what if you add __always_unused to the junk decl from linux/compiler.h does the warning go away then";"0"
"need to remove a few leading spaces here to align above.";"0"
"move up in sort order and remove the blank line above";"0"
"what is the reason to put some data into hieradata instead i do not understand what lands in puppet/controller.yaml and what in puppet/hieradata/controller.yaml";"0"
"canretry should be false instead of none i know thatitpreviously used none but seems that if its a boolean it should be explicitly false. just my 2 euros...";"0"
"use decorators.skip_because";"0"
"this might seem pedantic and stupid but do we really want to take a vast amount, i know... of memory just so a line does not break";"0"
"wpr.wait should be called even if kill failed. maybe we can call wait with defer.";"0"
"war on superfluous commas!";"0"
"yes, it should be removed.";"0"
"d0 ** 2 + d1 ** 2";"0"
"if remove self.needs_resync this func will not be needed.";"0"
"really stupid nitpick butthis line should not end with a period. there was a discussion about this in the m-l as well. i personally do not care but lets stick to the standard.";"0"
"if that is the case, agree that lock should be removed";"0"
"pls use cfg.conf.set_override";"0"
"in the future please bracket even one liners in a block.";"0"
"i wonder if the indirection is worth it... perhaps a comment would be more helpful here: # create a datagram socket s = socket.socket socket.af_inet6, socket.sock_dgram";"0"
"please, remove the empty line here.";"0"
